key,sector_hours,year,hours_idx_annual_raw
totale servizi di mercato (g-n),TOTALE SERVIZI DI MERCATO (g-n),2024,121.475
totale servizi di mercato (g-n),TOTALE SERVIZI DI MERCATO (g-n),2025,124.3
trasporto e magazzinaggio,Trasporto e magazzinaggio,2015,97.8
trasporto e magazzinaggio,Trasporto e magazzinaggio,2016,100.525
trasporto e magazzinaggio,Trasporto e magazzinaggio,2017,102.375
trasporto e magazzinaggio,Trasporto e magazzinaggio,2018,104.6
trasporto e magazzinaggio,Trasporto e magazzinaggio,2019,106.3
trasporto e magazzinaggio,Trasporto e magazzinaggio,2020,94.125
trasporto e magazzinaggio,Trasporto e magazzinaggio,2021,100.025
trasporto e magazzinaggio,Trasporto e magazzinaggio,2022,106.2
trasporto e magazzinaggio,Trasporto e magazzinaggio,2023,106.925
trasporto e magazzinaggio,Trasporto e magazzinaggio,2024,110.0
trasporto e magazzinaggio,Trasporto e magazzinaggio,2025,112.66666666666667
